"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
75,0.5,0,0.000999999999999999,0.00405729215183438,0.0118199310542149,146,0.997966041403177
76,4,0.1,0.000999999999999999,0.00831786457848482,0.0241341722806011,71.8453608247423,0.995740644213493
77,0,0.025,0.000999999999999999,0.0115355715687308,0.0441150172387771,141.711340206186,0.994215074407749
78,4,0,0.000999999999999999,0.00893886901738711,0.0299422388689917,146,0.995536069727636
79,1.5,0,0.000999999999999999,0.00202860658803429,0.00890206753364981,146,0.998968650544549
80,4,0.125,0.000999999999999999,0.00514086956312435,0.0128804495822637,66.4123711340206,0.997472725730108
81,0.005,0.025,0.000999999999999999,0.0158805879789286,0.0586729448194108,145.422680412371,0.992053131928953
82,0.25,0.05,0.000999999999999999,0.011675584424419,0.034923678099216,134.082474226804,0.994054295286063
83,2,0,0.000999999999999999,0.0132747530776115,0.0403321504247368,146,0.993328520200035
84,0.25,0.025,0.000999999999999999,0.003200868134455,0.00935593206069511,139.154639175258,0.998378393031031
85,0.5,0.025,0.000999999999999999,0.0132042403524532,0.0312818244256874,141.958762886598,0.993405996969638
86,0.75,0.05,0.000999999999999999,0.00218547798593881,0.00522535138230171,131.453608247423,0.998924600762823
87,2,0,0.000999999999999999,0.00991618280083648,0.0328385734271275,146,0.994963401513969
88,2,0,0.000999999999999999,0.00694681716275338,0.0310902814073204,146,0.996495655779281
89,0.005,0.075,0.000999999999999999,0.0152167518295608,0.0484312984723844,125.969072164948,0.992392143279352
90,0.75,0,0.000999999999999999,0.00352337275290551,0.00949597047280368,146,0.998210255902482
91,0.75,0.025,0.000999999999999999,0.0283687215454857,0.155990466738584,142.577319587629,0.985626211045452
92,6,0.025,0.000999999999999999,0.0347466543003001,0.128453120362127,106.381443298969,0.982910408576036
93,0.1,0.05,0.000999999999999999,0.00416077618898699,0.0139892634696755,124.39175257732,0.997919147137026
94,3,0,0.000999999999999999,0.0103553103520215,0.0377069071703117,146,0.994808090872806
95,0.1,0.225,0.000999999999999999,0.0202720765019641,0.0486885627688773,97.3917525773196,0.989913828707529
96,0.75,0,0.000999999999999999,0.00637358727498708,0.0173672412329917,146,0.996782798698927
97,0.75,0,0.000999999999999999,0.0261764685148183,0.127151837839831,146,0.986855975143406
98,0,0.075,0.000999999999999999,0.0110167617176715,0.0336116160050018,122.711340206186,0.994484459924797
99,8,1,0.000999999999999999,0.00942103526584384,0.0239742297426829,12.1030927835052,0.995907916965974
100,1.5,0,0.000999999999999999,0.00714176525178939,0.0267983276060137,146,0.996424142821915
