"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
81,8,0,0.0848342898244071,0.0095296616621526,0.0262887603689796,114,0.995254112890296
82,0.75,0.05,0.000999999999999999,0.060005613177151,0.109805529214089,110.742268041237,0.970379103412132
83,6,0.375,0.000999999999999999,0.0172068529821652,0.0288523165867088,36.1030927835052,0.991389112442567
84,6,0,0.00268269579527972,0.0117665745529706,0.0252013266276528,114,0.994115738031342
85,4,0.925,0.00163789370695406,0.0413541819250762,0.0680667710054354,30.639175257732,0.978574332591057
86,2,0.75,0.000999999999999999,0.0120545774619567,0.0216574532223269,43.6082474226804,0.993896408058434
87,4,0.9,0.000999999999999999,0.0402426647819053,0.0690695661432129,37.7835051546392,0.979621878003123
88,6,0.1,0.000999999999999999,0.00715303934206577,0.0154861206621325,44.340206185567,0.996380585983514
89,1,0.65,0.00163789370695406,0.013353288736119,0.0222108909501568,44.3505154639175,0.993092784154977
90,6,0.275,0.000999999999999999,0.0443779868490298,0.0807615123237449,43.1546391752577,0.977510791894029
91,3,0.15,0.000999999999999999,0.0316356982770219,0.0428367009743588,77.3814432989691,0.983758703957058
92,8,0.525,0.000999999999999999,0.0317889002263222,0.0681503942555506,21.5051546391753,0.983703524253459
93,8,0.65,0.000999999999999999,0.0156659322590497,0.0304336884120286,17.5257731958763,0.992231454212284
94,6,0.1,0.000999999999999999,0.00461893765331489,0.0123653674506347,43.7113402061856,0.99766896538986
95,8,0,0.0117876863479359,0.000688665518634212,0.00128479170161677,114,0.999654775827035
96,4,0.4,0.000999999999999999,0.0137244610424742,0.020864583728168,41.5876288659794,0.99309035529413
97,6,0.125,0.000999999999999999,0.00289402573613856,0.00736361163180412,43.0103092783505,0.998549030169585
98,8,0.125,0.000999999999999999,0.00392864258667569,0.00833686486629626,29.1958762886598,0.998008057255202
99,6,0.325,0.000999999999999999,0.054736929548183,0.0886631492166944,42.4742268041237,0.972332073658667
100,8,1,0.000999999999999999,0.0697490515425852,0.134165036651071,15.7835051546392,0.96644315345514
101,8,0.65,0.000999999999999999,0.0224211648628234,0.0399617031070266,19.1958762886598,0.988754602256457
102,6,0.5,0.000999999999999999,0.0327501461907094,0.0498629479254889,29.4639175257732,0.983639272911706
103,3,0.025,0.000999999999999999,0.0144206563346932,0.0286341578644361,105.010309278351,0.992724065642338
104,8,0.075,0.000999999999999999,0.0219311878794011,0.0400759967460892,51.4226804123711,0.988815841153799
105,6,0.075,0.000999999999999999,0.0114692233421607,0.0305028211617116,57.7628865979381,0.994206659537435
106,3,0,0.00439397056076079,0.0151100886131137,0.0232694499629899,114,0.99238837687765
107,6,0.375,0.000999999999999999,0.0154315227204376,0.022559174791525,29.9381443298969,0.992224986763814
108,6,0.175,0.000999999999999999,0.00925349258743032,0.0127641311883363,43.6701030927835,0.995014363907463
109,6,0.825,0.000999999999999999,0.0240944575975523,0.0355486976166001,25.7525773195876,0.987552696270831
110,4,0.525,0.000999999999999999,0.00853770850635741,0.0147480962599333,30.8659793814433,0.995524860839856
111,6,0.1,0.000999999999999999,0.00409458810241037,0.0071365594165237,45.5360824742268,0.997953187216867
112,8,0.05,0.0193069772888325,0.129153390661469,0.641026708102707,40.5051546391753,0.933234396061178
113,8,0.175,0.000999999999999999,0.00585252515318391,0.0106473461369208,29.4639175257732,0.997051722198425
114,8,0.05,0.000999999999999999,0.0054963215941157,0.00807016079109345,48.639175257732,0.997233654392411
