"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
86,8,0.05,0.00719685673001152,0.00753503893626669,0.0113159110326657,70.020618556701,0.996205430560526
87,8,0,0.0193069772888325,0.0128200511682949,0.0214149855234049,129,0.993565718692261
88,8,0,0.138949549437314,0.0116062578610845,0.0173374497331422,129,0.994156854577335
89,6,1,0.000999999999999999,0.00613905173056773,0.00945473344665407,28.7422680412371,0.996919529046937
90,8,0.375,0.00163789370695406,0.0196661259735587,0.0373908171291943,41.7835051546392,0.990230494918556
91,8,0,0.610540229658533,0.06242952638141,0.133984898313227,129,0.971339213732144
92,8,0,0.610540229658533,0.0409723069246233,0.0755226114787,129,0.982427718017476
93,6,0.2,0.000999999999999999,0.00620865569664829,0.0110594850424321,59.0309278350515,0.996885835574567
94,4,0.425,0.000999999999999999,0.0300103071825795,0.0545434631990868,46.020618556701,0.984644857752635
95,8,0.3,0.000999999999999999,0.00494552827578454,0.0085731170847233,43.3917525773196,0.997517051198562
96,4,0.625,0.000999999999999999,0.0103392158369938,0.0189738763863929,41.6494845360825,0.994780114243132
97,8,0.425,0.00719685673001152,0.0131453491701813,0.0204288102566068,27.4948453608247,0.994012603590261
98,8,0,0.610540229658533,0.0328492672743375,0.0626955122985708,129,0.985325403358587
99,6,0.3,0.00439397056076079,0.00876723632062959,0.0113095656010538,39.5463917525773,0.99564480560767
100,8,0,0.610540229658533,0.0251380724038235,0.0491071867892982,129,0.988794673116813
101,8,0.05,0.0316227766016838,0.0154075088334834,0.0235763460559937,73.6701030927835,0.992987335381618
102,6,1,0.00163789370695406,0.0131109445133384,0.0208067433693284,26.9587628865979,0.993346816528949
103,8,0.975,0.00268269579527972,0.018045200529236,0.0284535324211871,17.7731958762887,0.990944639106337
104,8,0,0.610540229658533,0.0330359969792508,0.0393436091904257,129,0.988161434629644
105,6,0.075,0.0117876863479359,0.00585202042152175,0.0112646908901549,58.5360824742268,0.99707118288878
106,8,0.875,0.00163789370695406,0.0132401398811733,0.0181730860355299,27.5876288659794,0.993346998814434
107,6,0.1,0.000999999999999999,0.00358590007367059,0.00494109445757008,70.4742268041237,0.998188884910966
108,8,0.925,0.00439397056076079,0.00947050848342431,0.0146263084518642,11.659793814433,0.995314485626781
109,4,0.35,0.000999999999999999,0.0112664806501529,0.0214156618728921,47.680412371134,0.994332179145604
110,8,0.7,0.000999999999999999,0.00542713085914802,0.0073543665990218,33.340206185567,0.997250458936268
111,8,0.025,0.0193069772888325,0.00750457500260548,0.0102429382166815,85.7938144329897,0.996216905929037
112,8,0,0.372759372031494,0.0269438432128938,0.0412703640867155,129,0.987890034605499
113,8,0.025,0.138949549437314,0.0171586232878171,0.0240954754382844,88.0412371134021,0.992196334431957
114,8,0,0.372759372031494,0.0581512566390004,0.0731301561373643,129,0.974029033104422
115,6,0.325,0.000999999999999999,0.00414541259751732,0.00482465627829941,44.5463917525773,0.997912239768089
116,8,0.325,0.000999999999999999,0.0052735067871903,0.00863098983146602,45.2268041237113,0.997339366450522
117,4,1,0.000999999999999999,0.00545199506267535,0.00701969589878425,31.5051546391753,0.997262164061711
118,8,0,0.610540229658533,0.0432460463956306,0.111697116540483,129,0.979497707698199
119,8,0.15,0.00439397056076079,0.0072708718240463,0.00962362368319509,50.4948453608247,0.996382729430052
120,8,1,0.00719685673001152,0.0492862709644384,0.142452170769099,8.38144329896907,0.977381931486274
121,8,0.025,0.372759372031494,0.0428877687237564,0.0616953903738614,58.7938144329897,0.985499996698153
122,8,0,0.0316227766016838,0.0102573168429461,0.0144669375074693,129,0.994871500241976
123,8,0.05,0.0316227766016838,0.011710875297956,0.0149582649321496,60.5051546391753,0.994265765700987
124,8,0,0.372759372031494,0.0378531004908958,0.0606719180203722,129,0.983032631067598
125,8,0,0.372759372031494,0.0465013007503123,0.0773694043796922,129,0.978059157287215
126,6,0.975,0.000999999999999999,0.00262633105892421,0.00334033215568263,22.9587628865979,0.998671161637213
127,8,0.025,0.0848342898244071,0.0223597825569162,0.0364588987397241,87.7525773195876,0.989570037453936
128,8,0.65,0.00163789370695406,0.0113740100882729,0.0186869376467837,29.0412371134021,0.994337107714531
129,8,0,0.227584592607479,0.0419185087890525,0.0702525121758632,129,0.979184036622169
